States,States Code,Year,GDP,Unemployment,Population,Poverty
New York,NY,2018,1665186.8,4.1,"19,340",11.1
North Carolina,NC,2018,556573.7,4.0,"10,370",13.1
North Dakota,ND,2018,58516.4,2.4,745,9.7
Ohio,OH,2018,656212,4.5,"11,450",11.9
Oklahoma,OK,2018,196030.5,3.3,"3,858",13.4
Oregon,OR,2018,234308.3,4.0,"4,172",9.7
Pennsylvania,PA,2018,763855.4,4.4,"12,520",11.8
Rhode Island,RI,2018,58740.1,4.0,"1,036",8.9
South Carolina,SC,2018,231663.3,3.4,"5,036",12.8
South Dakota,SD,2018,51937.8,2.8,853,10.6
Tennessee,TN,2018,362363.7,3.5,"6,665",12.0
Texas,TX,2018,1746543.3,3.9,"28,500",13.7
Utah,UT,2018,182106,2.9,"3,173",6.9
Vermont,VT,2018,32827.8,2.5,616,9.7
Virginia,VA,2018,527767.5,3.0,"8,393",9.8
Washington,WA,2018,561785.7,4.4,"7,555",8.6
West Virginia,WV,2018,77406.5,5.1,"1,762",15.9
Wisconsin,WI,2018,328832.4,3.0,"5,795",8.6
Wyoming,WY,2018,37977.2,4.1,565,9.5
Alabama,AL,2019,225272.8,3.2,"4,873",12.9
Alaska,AK,2019,52377.5,5.6,701,10.2
Arizona,AZ,2019,359576.7,4.8,"7,285",9.9
Arkansas,AR,2019,127220,3.5,"2,915",14.1
California,CA,2019,2969609,4.1,"39,370",10.1
Colorado,CO,2019,383725.6,2.7,"5,768",9.3
Connecticut,CT,2019,275225.4,3.6,"3,490",8.3
Delaware,DE,2019,74627.8,3.6,971,6.5
District of Columbia,DC,2019,138909.7,5.5,702,12.5
Florida,FL,2019,1084913.9,3.3,"21,400",11.5
Georgia,GA,2019,620744.9,3.6,"10,350",12.1
Hawaii,HI,2019,88855.2,2.5,"1,365",8.4
Idaho,ID,2019,81144.3,2.9,"1,794",7.1
Illinois,IL,2019,858018.3,4.0,"12,500",9.3
Indiana,IN,2019,370507.2,3.3,"6,691",10.1
Iowa,IA,2019,188471.4,2.7,"3,137",9.5
Kansas,KS,2019,169562.3,3.2,"2,813",9.5
Kentucky,KY,2019,211783.1,4.1,"4,399",13.6
Louisiana,LA,2019,246674.4,4.6,"4,563",17.9
